Affix Name,Installable In,Effect Description,Common,Uncommon,Rare,Epic,Legendary,Mythic
Bartering,armorHead,Improves buying and selling prices by {x},5%,10%,15%,20%,25%,30%
XP Bonus,"tool,weapon,armorHead",Increases XP gain by {x} from kills,10%,20%,30%,40%,50%,60%
Crit Resist,"armorChest,armorHands",Increases resistance to critical injuries by {x},5%,10%,15%,20%,25%,30%
Crouch Speed,"tool,weapon,armorFeet",Increases your sneaking speed by {x},10%,20%,30%,40%,50%,60%
Durability,"tool,weapon,armor",Increases max durability by {x},100,200,300,400,500,600
Durability%,"tool,weapon,armor",Increases max durability by {x},10%,20%,30%,40%,50%,60%
Armor Rating,armorChest,Increase armor rating by {x},1,2,3,4,5,6
Baton Damage,armor,Increase baton damage by {x},10%,20%,30%,40%,50%,60%
Archery Damage,armor,Increases damgae of bows and crossbows by {x},10%,20%,30%,40%,50%,60%
Club Damage,armor,Increase club damage by {x},10%,20%,30%,40%,50%,60%
Explosives Damage,armor,Increases Explosives damage by {x},10%,20%,30%,40%,50%,60%
Feral Damage,armor,Increases weapon damage by {x} against ferals,10%,20%,30%,40%,50%,60%
Infernal Damage,armor,Increases weapon damage by {x} against charged and infernal zombies,10%,20%,30%,40%,50%,60%
Knife Damage,armor,Increases knife damage by {x},10%,20%,30%,40%,50%,60%
Knuckles Damage,armor,Increases knuckle damage by {x},10%,20%,30%,40%,50%,60%
Machinegun Damage,armor,Increase Machinegun Damage by {x},10%,20%,30%,40%,50%,60%
Pistol Damage,armor,Increases pistol damage by {x},10%,20%,30%,40%,50%,60%
Radiated Damage,armor,Increases weapon damage by {x} against radiated zombies,10%,20%,30%,40%,50%,60%
.44 Damage,armor,Increases damage of .44 weapons by {x},10%,20%,30%,40%,50%,60%
Junk Turret Damage,armor,Increase junk turret damage by {x},10%,20%,30%,40%,50%,60%
Shotgun Damage,armor,Increase shotgun damage by {x},10%,20%,30%,40%,50%,60%
Sledgehammer damage,armor,Increase sledgehammer damage by {x},10%,20%,30%,40%,50%,60%
Sniper Damage,armor,Increases sniper damage by {x},10%,20%,30%,40%,50%,60%
Spear Damage,armor,Increases spear damage by {x},10%,20%,30%,40%,50%,60%
Harvestcount,armor,You have a {x} bonus when harvesting resources,10%,20%,30%,40%,50%,60%
Health Regen,"tool,weapon,armorHead,armorChest",You passively heal 1 additional hp every {x} seconds,45,30,20,15,10,5
HP Max Base,"armorHead,armorChest",Increases your max hp by {x},5,10,15,20,25,30
HP Max %.,"armorHead,armorChest",Increases your max hp by {x},3%,6%,9%,12%,15%,20%
Jump Strength,"tool,weapon,armorFeet",Increases your jump strength by {x},15%,30%,45%,60%,75%,90%
Lootstage %,armorHead,Increases your lootstage by {x},6%,12%,18%,24%,30%,36%
Lootstage Base,armorHead,Increases your lootstage by {x},6,12,18,24,30,36
Movement Speed,"tool,weapon,armorFeet",Increases your movement speed by {x},5%,10%,15%,20%,25%,30%
Night Sneak Bonus,"tool,weapon,armor",Increases sneak damage at night by {x},75%,150%,225%,300%,375%,450%
Run Speed,"tool,weapon,armorFeet",Increases your run speed by {x},5%,10%,15%,20%,25%,30%
Sneak Base Bonus,"weapon,armor",Increases base weapon damage on sneak attacks by {x},2,4,6,8,10,12
Sneak Bonus%,"weapon,armor",Increases sneak damage bonus by {x},50%,100%,150%,200%,250%,300%
Stamina Regen,"tool,weapon,armorHands,armorFeet",Increases your stamina regen by {x},6%,12%,18%,24%,30%,36%
Sprint Stamina,"tool,weapon,armorHands,armorFeet",Increases stamina regen while sprinting by {x},10%,20%,30%,40%,50%,60%
Stamina Base,"tool,weapon,armorHands,armorFeet",Increase your stamina by {x} while holding this weapon,5,10,15,20,25,30
Stamina %,"tool,weapon,armorHands,armorFeet",Increases your stamina by {x} while holding this weapon,5%,10%,15%,20%,25%,30%
Stun Resist,armor,Increase your stun resistance by {x},10%,20%,30%,40%,50%,60%
Walk Speed,"tool,weapon,armorFeet",Increases your walking speed by {x},5%,10%,15%,20%,25%,30%
Infection Resist,"armorChest,armorHands",Increase infection resistance by {x},17%,33%,50%,67%,83%,100%
Cold Resist,armor,Increase cold resistance by {x},1.5,3,4.5,6,7.5,9
Heat Resist,armor,Increase heat resistance by {x},1.5,3,4.5,6,7.5,9
Elemental Resist,armor,Increases cold and heat resistance by {x},1,2,3,4,5,6
Inventory Capacity,"armorChest,armorHands",Increases carry capacity by {x},1,2,3,4,5,6
Dodge Chance,armorChest,You have a {x} chance to dodge all damage (like packmule),2%,4%,6%,8%%,10%,12%
