affix_family,installable_tags,rarity_1_name,rarity_1_localized_effect,rarity_1_xml_effects,rarity_1_modifier_id,rarity_2_name,rarity_2_localized_effect,rarity_2_xml_effects,rarity_2_modifier_id,rarity_3_name,rarity_3_localized_effect,rarity_3_xml_effects,rarity_3_modifier_id,rarity_4_name,rarity_4_localized_effect,rarity_4_xml_effects,rarity_4_modifier_id,rarity_5_name,rarity_5_localized_effect,rarity_5_xml_effects,rarity_5_modifier_id,rarity_6_name,rarity_6_localized_effect,rarity_6_xml_effects,rarity_6_modifier_id
affixModArmorPen,"tool,weapon",Common Armor Penetration,Reduces enemy armor by 15%.,TargetArmor perc_add -.15,affixModArmorPen1,[68F968]Uncommon[-] Armor Penetration,Reduces enemy armor by 30%.,TargetArmor perc_add -.3,affixModArmorPen2,[38A6F6]Rare[-] Armor Penetration,Reduces enemy armor by 45%.,TargetArmor perc_add -.45,affixModArmorPen3,[852EC8]Epic[-] Armor Penetration,Reduces enemy armor by 60%.,TargetArmor perc_add -.6,affixModArmorPen4,[D6D162]Legendary[-] Armor Penetration,Reduces enemy armor by 75%.,TargetArmor perc_add -.75,affixModArmorPen5,[FF3646]Mythic[-] Armor Penetration,Reduces enemy armor by 90%.,TargetArmor perc_add -.9,affixModArmorPen6
affixModArrowRecovery,"bow,crossbow",Common Arrow Recovery,You recover 10% more arrows.,ProjectileStickChance perc_add .1,affixModArrowRecovery1,[68F968]Uncommon[-] Arrow Recovery,You recover 20% more arrows.,ProjectileStickChance perc_add .2,affixModArrowRecovery2,[38A6F6]Rare[-] Arrow Recovery,You recover 30% more arrows.,ProjectileStickChance perc_add .3,affixModArrowRecovery3,[852EC8]Epic[-] Arrow Recovery,You recover 40% more arrows.,ProjectileStickChance perc_add .4,affixModArrowRecovery4,[D6D162]Legendary[-] Arrow Recovery,You recover 50% more arrows.,ProjectileStickChance perc_add .5,affixModArrowRecovery5,[FF3646]Mythic[-] Arrow Recovery,You recover 60% more arrows.,ProjectileStickChance perc_add .6,affixModArrowRecovery6
affixModAttacksPerMinuteBase,"tool,melee",Common Attackspeed Base,Increases attacks/minute by 5.,AttacksPerMinute base_add 5,affixModAttacksPerMinuteBase1,[68F968]Uncommon[-] Attackspeed Base,Increases attacks/minute by 10.,AttacksPerMinute base_add 10,affixModAttacksPerMinuteBase2,[38A6F6]Rare[-] Attackspeed Base,Increases attacks/minute by 15.,AttacksPerMinute base_add 15,affixModAttacksPerMinuteBase3,[852EC8]Epic[-] Attackspeed Base,Increases attacks/minute by 20.,AttacksPerMinute base_add 20,affixModAttacksPerMinuteBase4,[D6D162]Legendary[-] Attackspeed Base,Increases attacks/minute by 25.,AttacksPerMinute base_add 25,affixModAttacksPerMinuteBase5,[FF3646]Mythic[-] Attackspeed Base,Increases attacks/minute by 30.,AttacksPerMinute base_add 30,affixModAttacksPerMinuteBase6
affixModAttacksPerMinutePerc,"tool,melee",Common Attackspeed %,Increases attacks/minute by 10%.,AttacksPerMinute perc_add 0.1,affixModAttacksPerMinutePerc1,[68F968]Uncommon[-] Attackspeed %,Increases attacks/minute by 20%.,AttacksPerMinute perc_add 0.2,affixModAttacksPerMinutePerc2,[38A6F6]Rare[-] Attackspeed %,Increases attacks/minute by 30%.,AttacksPerMinute perc_add 0.3,affixModAttacksPerMinutePerc3,[852EC8]Epic[-] Attackspeed %,Increases attacks/minute by 40%.,AttacksPerMinute perc_add 0.4,affixModAttacksPerMinutePerc4,[D6D162]Legendary[-] Attackspeed %,Increases attacks/minute by 50%.,AttacksPerMinute perc_add 0.5,affixModAttacksPerMinutePerc5,[FF3646]Mythic[-] Attackspeed %,Increases attacks/minute by 60%.,AttacksPerMinute perc_add 0.6,affixModAttacksPerMinutePerc6
affixModBleed,"tool,weapon",Common Bleed %,You have a 17% chance to apply a bleed with each attack. The bleed from this source can stack infinitely.,"ModifyCVar on onSelfDamagedOther (target=other, cvar=bleedCounter, operation=add, value=1)",affixModBleed1,[68F968]Uncommon[-] Bleed %,You have a 33% chance to apply a bleed with each attack. The bleed from this source can stack infinitely.,"ModifyCVar on onSelfDamagedOther (target=other, cvar=bleedCounter, operation=add, value=1)",affixModBleed2,[38A6F6]Rare[-] Bleed %,You have a 50% chance to apply a bleed with each attack. The bleed from this source can stack infinitely.,"ModifyCVar on onSelfDamagedOther (target=other, cvar=bleedCounter, operation=add, value=1)",affixModBleed3,[852EC8]Epic[-] Bleed %,You have a 67% chance to apply a bleed with each attack. The bleed from this source can stack infinitely.,"ModifyCVar on onSelfDamagedOther (target=other, cvar=bleedCounter, operation=add, value=1)",affixModBleed4,[D6D162]Legendary[-] Bleed %,You have a 83% chance to apply a bleed with each attack. The bleed from this source can stack infinitely.,"ModifyCVar on onSelfDamagedOther (target=other, cvar=bleedCounter, operation=add, value=1)",affixModBleed5,[FF3646]Mythic[-] Bleed %,You have a 100% chance to apply a bleed with each attack. The bleed from this source can stack infinitely.,"ModifyCVar on onSelfDamagedOther (target=other, cvar=bleedCounter, operation=add, value=1)",affixModBleed6
affixModBlockDamageBase,tool,Common Block Damage Base,Increases base block damage by 2.,BlockDamage base_add 2,affixModBlockDamageBase1,[68F968]Uncommon[-] Block Damage Base,Increases base block damage by 4.,BlockDamage base_add 4,affixModBlockDamageBase2,[38A6F6]Rare[-] Block Damage Base,Increases base block damage by 6.,BlockDamage base_add 6,affixModBlockDamageBase3,[852EC8]Epic[-] Block Damage Base,Increases base block damage by 8.,BlockDamage base_add 8,affixModBlockDamageBase4,[D6D162]Legendary[-] Block Damage Base,Increases base block damage by 10.,BlockDamage base_add 10,affixModBlockDamageBase5,[FF3646]Mythic[-] Block Damage Base,Increases base block damage by 12.,BlockDamage base_add 12,affixModBlockDamageBase6
affixModBlockDamagePerc,tool,Common Block Damage %,Increases block damage by 15%.,BlockDamage perc_add .15,affixModBlockDamagePerc1,[68F968]Uncommon[-] Block Damage %,Increases block damage by 30%.,BlockDamage perc_add .3,affixModBlockDamagePerc2,[38A6F6]Rare[-] Block Damage %,Increases block damage by 45%.,BlockDamage perc_add .45,affixModBlockDamagePerc3,[852EC8]Epic[-] Block Damage %,Increases block damage by 60%.,BlockDamage perc_add .6,affixModBlockDamagePerc4,[D6D162]Legendary[-] Block Damage %,Increases block damage by 75%.,BlockDamage perc_add .75,affixModBlockDamagePerc5,[FF3646]Mythic[-] Block Damage %,Increases block damage by 90%.,BlockDamage perc_add .9,affixModBlockDamagePerc6
affixModBodyDamageBase,"tool,weapon",Common Body Damage Base,Increases base weapon damage by 2 when dealing damage to the body.,DamageModifier base_add -2 | DamageModifier base_add 2,affixModBodyDamageBase1,[68F968]Uncommon[-] Body Damage Base,Increases base weapon damage by 4 when dealing damage to the body.,DamageModifier base_add -4 | DamageModifier base_add 4,affixModBodyDamageBase2,[38A6F6]Rare[-] Body Damage Base,Increases base weapon damage by 6 when dealing damage to the body.,DamageModifier base_add -6 | DamageModifier base_add 6,affixModBodyDamageBase3,[852EC8]Epic[-] Body Damage Base,Increases base weapon damage by 8 when dealing damage to the body.,DamageModifier base_add -8 | DamageModifier base_add 8,affixModBodyDamageBase4,[D6D162]Legendary[-] Body Damage Base,Increases base weapon damage by 10 when dealing damage to the body.,DamageModifier base_add -10 | DamageModifier base_add 10,affixModBodyDamageBase5,[FF3646]Mythic[-] Body Damage Base,Increases base weapon damage by 12 when dealing damage to the body.,DamageModifier base_add -12 | DamageModifier base_add 12,affixModBodyDamageBase6
affixModBodyDamagePerc,"tool,weapon",Common Body Damage %,Increases weapon damage to body by 20%.,DamageModifier perc_add -0.2 | DamageModifier perc_add 0.2,affixModBodyDamagePerc1,[68F968]Uncommon[-] Body Damage %,Increases weapon damage to body by 40%.,DamageModifier perc_add -0.4 | DamageModifier perc_add 0.4,affixModBodyDamagePerc2,[38A6F6]Rare[-] Body Damage %,Increases weapon damage to body by 60%.,DamageModifier perc_add -0.6 | DamageModifier perc_add 0.6,affixModBodyDamagePerc3,[852EC8]Epic[-] Body Damage %,Increases weapon damage to body by 80%.,DamageModifier perc_add -0.8 | DamageModifier perc_add 0.8,affixModBodyDamagePerc4,[D6D162]Legendary[-] Body Damage %,Increases weapon damage to body by 100%.,DamageModifier perc_add -1 | DamageModifier perc_add 1,affixModBodyDamagePerc5,[FF3646]Mythic[-] Body Damage %,Increases weapon damage to body by 120%.,DamageModifier perc_add -1.2 | DamageModifier perc_add 1.2,affixModBodyDamagePerc6
affixModBurn,"tool,weapon",Common Burn %,You have a 10% chance to set the target on fire.,"AddBuff on onSelfAttackedOther (target=other, buff=buffBurningElement) | ModifyCVar on onSelfAttackedOther (target=other, cvar=$buffBurningElementDuration, operation=set, value=10) | ModifyCVar on onSelfAttackedOther (target=other, cvar=$buffBurningElementDuration, operation=set, value=12)",affixModBurn1,[68F968]Uncommon[-] Burn %,You have a 20% chance to set the target on fire.,"AddBuff on onSelfAttackedOther (target=other, buff=buffBurningElement) | ModifyCVar on onSelfAttackedOther (target=other, cvar=$buffBurningElementDuration, operation=set, value=10) | ModifyCVar on onSelfAttackedOther (target=other, cvar=$buffBurningElementDuration, operation=set, value=12)",affixModBurn2,[38A6F6]Rare[-] Burn %,You have a 30% chance to set the target on fire.,"AddBuff on onSelfAttackedOther (target=other, buff=buffBurningElement) | ModifyCVar on onSelfAttackedOther (target=other, cvar=$buffBurningElementDuration, operation=set, value=10) | ModifyCVar on onSelfAttackedOther (target=other, cvar=$buffBurningElementDuration, operation=set, value=12)",affixModBurn3,[852EC8]Epic[-] Burn %,You have a 40% chance to set the target on fire.,"AddBuff on onSelfAttackedOther (target=other, buff=buffBurningElement) | ModifyCVar on onSelfAttackedOther (target=other, cvar=$buffBurningElementDuration, operation=set, value=10) | ModifyCVar on onSelfAttackedOther (target=other, cvar=$buffBurningElementDuration, operation=set, value=12)",affixModBurn4,[D6D162]Legendary[-] Burn %,You have a 50% chance to set the target on fire.,"AddBuff on onSelfAttackedOther (target=other, buff=buffBurningElement) | ModifyCVar on onSelfAttackedOther (target=other, cvar=$buffBurningElementDuration, operation=set, value=10) | ModifyCVar on onSelfAttackedOther (target=other, cvar=$buffBurningElementDuration, operation=set, value=12)",affixModBurn5,[FF3646]Mythic[-] Burn %,You have a 60% chance to set the target on fire.,"AddBuff on onSelfAttackedOther (target=other, buff=buffBurningElement) | ModifyCVar on onSelfAttackedOther (target=other, cvar=$buffBurningElementDuration, operation=set, value=10) | ModifyCVar on onSelfAttackedOther (target=other, cvar=$buffBurningElementDuration, operation=set, value=12)",affixModBurn6
