set_bonus_buff,set_name,quality,armor_group,localized_name,localized_description,localized_tooltip,effects_from_xml
buffAssassinSetBonus,Assassin,1,groupRogue,,"With unmatched agility, the Assassin slips away into the shadows.\nBecome hidden {cvar(.armorAssassinFSBDisplay02:0)}% faster.\nYour sneaking ability improves by {cvar(.armorAssassinFSBDisplay01:0)}%.\nNoise is completely nullified.\nSneak damage bonus is increased by {cvar(.armorAssassinFSBDisplay02:0)}%.",,"passive_effect(name=LightMultiplier, operation=perc_add, value=-.05) | passive_effect(name=NoiseMultiplier, operation=perc_add, value=-.999) | passive_effect(name=CrouchSpeed, operation=perc_add, value=.05) | passive_effect(name=EnemySearchDuration, operation=perc_add, value=.05) | passive_effect(name=SilenceBlockSteps, operation=base_set, value=1, tags=trashPile)"
buffAssassinSetBonus,Assassin,1,groupAssassin,,"With unmatched agility, the Assassin slips away into the shadows.\nBecome hidden {cvar(.armorAssassinFSBDisplay02:0)}% faster.\nYour sneaking ability improves by {cvar(.armorAssassinFSBDisplay01:0)}%.\nNoise is completely nullified.\nSneak damage bonus is increased by {cvar(.armorAssassinFSBDisplay02:0)}%.",,"passive_effect(name=DamageBonus, operation=base_add, value=.15) | passive_effect(name=EntityDamage, operation=perc_add, value=.15)"
buffAssassinSetBonus,Assassin,1,groupAssassin,,"With unmatched agility, the Assassin slips away into the shadows.\nBecome hidden {cvar(.armorAssassinFSBDisplay02:0)}% faster.\nYour sneaking ability improves by {cvar(.armorAssassinFSBDisplay01:0)}%.\nNoise is completely nullified.\nSneak damage bonus is increased by {cvar(.armorAssassinFSBDisplay02:0)}%.",,"passive_effect(name=EnemySearchDuration, operation=perc_add, value=.15) | triggered_effect(trigger=onSelfBuffStart, action=ModifyCVar, cvar=.armorAssassinFSBDisplay01, operation=set, value=5) | triggered_effect(trigger=onSelfBuffUpdate, action=ModifyCVar, cvar=.armorAssassinFSBDisplay01, operation=set, value=5) | triggered_effect(trigger=onSelfBuffStart, action=ModifyCVar, cvar=.armorAssassinFSBDisplay02, operation=set, value=15) | triggered_effect(trigger=onSelfBuffUpdate, action=ModifyCVar, cvar=.armorAssassinFSBDisplay02, operation=set, value=15) | triggered_effect(trigger=onSelfBuffRemove, action=RemoveCVar, cvar=.armorAssassinFSBDisplay01,.armorAssassinFSBDisplay02)"
buffAssassinSetBonus,Assassin,2,groupRogue,,"With unmatched agility, the Assassin slips away into the shadows.\nBecome hidden {cvar(.armorAssassinFSBDisplay02:0)}% faster.\nYour sneaking ability improves by {cvar(.armorAssassinFSBDisplay01:0)}%.\nNoise is completely nullified.\nSneak damage bonus is increased by {cvar(.armorAssassinFSBDisplay02:0)}%.",,"passive_effect(name=LightMultiplier, operation=perc_add, value=-.1) | passive_effect(name=NoiseMultiplier, operation=perc_add, value=-.999) | passive_effect(name=CrouchSpeed, operation=perc_add, value=.1) | passive_effect(name=EnemySearchDuration, operation=perc_add, value=.1) | passive_effect(name=SilenceBlockSteps, operation=base_set, value=1, tags=trashPile)"
buffAssassinSetBonus,Assassin,2,groupAssassin,,"With unmatched agility, the Assassin slips away into the shadows.\nBecome hidden {cvar(.armorAssassinFSBDisplay02:0)}% faster.\nYour sneaking ability improves by {cvar(.armorAssassinFSBDisplay01:0)}%.\nNoise is completely nullified.\nSneak damage bonus is increased by {cvar(.armorAssassinFSBDisplay02:0)}%.",,"passive_effect(name=DamageBonus, operation=base_add, value=.3) | passive_effect(name=EntityDamage, operation=perc_add, value=.3)"
buffAssassinSetBonus,Assassin,2,groupAssassin,,"With unmatched agility, the Assassin slips away into the shadows.\nBecome hidden {cvar(.armorAssassinFSBDisplay02:0)}% faster.\nYour sneaking ability improves by {cvar(.armorAssassinFSBDisplay01:0)}%.\nNoise is completely nullified.\nSneak damage bonus is increased by {cvar(.armorAssassinFSBDisplay02:0)}%.",,"passive_effect(name=EnemySearchDuration, operation=perc_add, value=.3) | triggered_effect(trigger=onSelfBuffStart, action=ModifyCVar, cvar=.armorAssassinFSBDisplay01, operation=set, value=10) | triggered_effect(trigger=onSelfBuffUpdate, action=ModifyCVar, cvar=.armorAssassinFSBDisplay01, operation=set, value=10) | triggered_effect(trigger=onSelfBuffStart, action=ModifyCVar, cvar=.armorAssassinFSBDisplay02, operation=set, value=30) | triggered_effect(trigger=onSelfBuffUpdate, action=ModifyCVar, cvar=.armorAssassinFSBDisplay02, operation=set, value=30) | triggered_effect(trigger=onSelfBuffRemove, action=RemoveCVar, cvar=.armorAssassinFSBDisplay01,.armorAssassinFSBDisplay02)"
buffAssassinSetBonus,Assassin,3,groupRogue,,"With unmatched agility, the Assassin slips away into the shadows.\nBecome hidden {cvar(.armorAssassinFSBDisplay02:0)}% faster.\nYour sneaking ability improves by {cvar(.armorAssassinFSBDisplay01:0)}%.\nNoise is completely nullified.\nSneak damage bonus is increased by {cvar(.armorAssassinFSBDisplay02:0)}%.",,"passive_effect(name=LightMultiplier, operation=perc_add, value=-.15) | passive_effect(name=NoiseMultiplier, operation=perc_add, value=-.999) | passive_effect(name=CrouchSpeed, operation=perc_add, value=.15) | passive_effect(name=EnemySearchDuration, operation=perc_add, value=.15) | passive_effect(name=SilenceBlockSteps, operation=base_set, value=1, tags=trashPile)"
buffAssassinSetBonus,Assassin,3,groupAssassin,,"With unmatched agility, the Assassin slips away into the shadows.\nBecome hidden {cvar(.armorAssassinFSBDisplay02:0)}% faster.\nYour sneaking ability improves by {cvar(.armorAssassinFSBDisplay01:0)}%.\nNoise is completely nullified.\nSneak damage bonus is increased by {cvar(.armorAssassinFSBDisplay02:0)}%.",,"passive_effect(name=DamageBonus, operation=base_add, value=.45) | passive_effect(name=EntityDamage, operation=perc_add, value=.45)"
buffAssassinSetBonus,Assassin,3,groupAssassin,,"With unmatched agility, the Assassin slips away into the shadows.\nBecome hidden {cvar(.armorAssassinFSBDisplay02:0)}% faster.\nYour sneaking ability improves by {cvar(.armorAssassinFSBDisplay01:0)}%.\nNoise is completely nullified.\nSneak damage bonus is increased by {cvar(.armorAssassinFSBDisplay02:0)}%.",,"passive_effect(name=EnemySearchDuration, operation=perc_add, value=.45) | triggered_effect(trigger=onSelfBuffStart, action=ModifyCVar, cvar=.armorAssassinFSBDisplay01, operation=set, value=15) | triggered_effect(trigger=onSelfBuffUpdate, action=ModifyCVar, cvar=.armorAssassinFSBDisplay01, operation=set, value=15) | triggered_effect(trigger=onSelfBuffStart, action=ModifyCVar, cvar=.armorAssassinFSBDisplay02, operation=set, value=45) | triggered_effect(trigger=onSelfBuffUpdate, action=ModifyCVar, cvar=.armorAssassinFSBDisplay02, operation=set, value=45) | triggered_effect(trigger=onSelfBuffRemove, action=RemoveCVar, cvar=.armorAssassinFSBDisplay01,.armorAssassinFSBDisplay02)"
buffAssassinSetBonus,Assassin,4,groupRogue,,"With unmatched agility, the Assassin slips away into the shadows.\nBecome hidden {cvar(.armorAssassinFSBDisplay02:0)}% faster.\nYour sneaking ability improves by {cvar(.armorAssassinFSBDisplay01:0)}%.\nNoise is completely nullified.\nSneak damage bonus is increased by {cvar(.armorAssassinFSBDisplay02:0)}%.",,"passive_effect(name=LightMultiplier, operation=perc_add, value=-.25) | passive_effect(name=NoiseMultiplier, operation=perc_add, value=-.999) | passive_effect(name=CrouchSpeed, operation=perc_add, value=.25) | passive_effect(name=EnemySearchDuration, operation=perc_add, value=.25) | passive_effect(name=SilenceBlockSteps, operation=base_set, value=1, tags=trashPile)"
