Affix Name,Installable In,Effect Description,Common Value(s),Uncommon Value(s),Rare Value(s),Epic Value(s),Legendary Value(s),Mythic Value(s)
Armor Penetration,"tool,weapon",Reduces enemy armor by {value1},15%,30%,45%,60%,75%,90%
Arrow Recovery,"bow,crossbow",You recover {value1} more arrows,10%,20%,30%,40%,50%,60%
Attackspeed Base,"tool,melee",Increases attacks/minute by {value1},5,10,15,20,25,30
Attackspeed %,"tool,melee",Increases attacks/minute by {value1},10%,20%,30%,40%,50%,60%
Bleed %,"tool,weapon",You have a {value1} chance to apply a bleed with each attack,17%,33%,50%,67%,83%,100%
Block Damage Base,tool,Increases base block damage by {value1},2,4,6,8,10,12
Block Damage %,tool,Increases block damage by {value1},15%,30%,45%,60%,75%,90%
Body Damage Base,"tool,weapon",Increases base weapon damage by {value1} when dealing damage to the body,2,4,6,8,10,12
Body Damage %,"tool,weapon",Increases weapon damage to body by {value1},20%,40%,60%,80%,100%,120%
XP Bonus,"tool,weapon,armorHead",Increases XP gain by {value1} from kills,10%,20%,30%,40%,50%,60%
Burn %,"tool,weapon",You have a {value1} chance to set the target on fire,10%,20%,30%,40%,50%,60%
Cripple,"tool,weapon",You have a {value1} chance to cripple an enemy with a headshot,10%,20%,30%,40%,50%,60%
Crouch Speed,"tool,weapon,armorFeet",Increases your sneaking speed by {value1},10%,20%,30%,40%,50%,60%
Dismemberment,"tool,weapon",Increases dismemberment chance by {value1},20%,40%,60%,80%,100%,120%
Durability,"tool,weapon,armor",Increases max durability by {value1},100,200,300,400,500,600
Durability%,"tool,weapon,armor",Increases max durability by {value1},10%,20%,30%,40%,50%,60%
Base Entity Damage,"tool,weapon",Increases base entity damage by {value1},1,2,3,4,5,6
Entity Damage %,"tool,weapon",Increases weapon entity damage by {value1},10%,20%,30%,40%,50%,60%
Power Damage Base,"tool,melee",Increases base weapon damage for power attacks by {value1},1.5,3,4.5,6,7,9
Power Damage %,"tool,melee",Increases weapon power attack damage by {value1},10%,20%,30%,40%,50%,60%
